run,  run_length, dqm_ctag_inst, subruns, nearline_ctag_total
24576 0.0391203704057 409.226140351 290 19517469.8734
24577 0.0681365741184 369.160360204 497 33002876.2523
24578 0.0676851852331 377.112371134 497 32461825.2982
24579 0.0291550925467 423.323809524 217 14149256.8144
24580 0.0614351852564 460.489772727 497 35029927.5839
24581 0.0617476851912 427.217978944 497 34586638.6444
24582 0.0611458333442 454.797752809 497 36117154.5
24583 0.0610879630549 455.470454545 497 36124871.0
24584 0.0612731481669 447.210227273 497 34655835.0288
24585 0.0029629629571 462.4 24 1738018.0
24587 0.0608796296874 463.6125 497 36054904.5841
24588 0.0650462962221 413.31919234 497 32672722.6538
24589 0.0671412036754 418.644329897 497 32808608.5469
24590 0.0675810185494 404.825510204 497 32882272.4673
24592 0.0355092592072 417.074509804 263 16850974.0658
24594 0.068576388876 389.040482949 497 32233183.5
24595 0.00884259259328 348.969230769 64 3560801.52381
24597 0.0664351851447 273.807044604 463 22753008.8898
24600 0.00846064812504 373.666666667 62 3703224.57143
24602 0.0215509259142 388.125806452 157 10000827.1884
24604 0.0646990740206 407.638246809 497 32128953.7426
24605 0.0231481480878 457.273529412 189 13606458.6
24608 0.0616782407742 442.41375 497 35524428.5319
24609 0.0326273147948 456.627659574 266 18680557.0886
24613 0.061458333279 439.99788764 497 35462527.2143
24614 0.0447685185354 455.2609375 365 26059097.4779
24616 0.061342592584 442.215909091 497 34586000.2547
24617 0.00788194453344 477.518181818 65 4680648.33333
24619 0.061990740709 435.866292135 497 35130873.7843
24620 0.0410879629198 451.14440678 329 23912974.5385
24621 0.0654398148181 353.128159574 497 29927610.2835
24622 0.0197337962454 479.007142857 160 11851878.2609
24625 0.0612037036335 345.189937841 439 27351267.3672
24628 0.00133101851679 455.75 10 658914.0
24630 0.0409027778078 411.381525424 303 18872175.8348
24631 0.0668055556016 435.822916667 497 33732178.1717
24632 0.0642824074021 464.725806452 497 35714396.3333
24633 0.0666782407789 443.251041667 497 34529034.0103
24634 0.00291666667908 446.175 22 1525029.0
24636 0.0666666666511 443.5496875 497 33076699.6961
24684 0.0138657407369 285.117 102 7083186.0
24686 0.0360416666372 488.063461538 299 22025129.1639
24688 0.038506944431 482.105454545 318 23723475.75
24689 0.0623726851773 421.953 497 36303398.7767
24690 0.045162037015 484.506153846 373 27900363.9032
24691 0.0172106481623 492.9875 143 10746635.9
24695 0.0122222221689 489.788888889 101 7535439.07692
24696 0.0137847221922 504.585 121 8608166.875
24697 0.00773148145527 499.309090909 72 4900021.71429
24698 0.00798611110076 503.309090909 77 5010176.3871
24699 0.0078125 446.672727273 72 3840120.0
24700 0.00511574081611 459.625 48 2538912.0
24703 0.0423842591699 467.086885246 370 23789428.7013
24704 0.0384259258863 469.268545455 341 22670133.53
24705 0.00175925926305 386.5 14 806760.5
24723 0.0421296296408 98.8520331167 315 7462248.75
24724 0.0580555554479 450.645783133 497 30285689.0
24725 0.0594907406485 434.9 497 30604455.3333
24726 0.00855324068107 402.733333333 71 4344041.96552
24727 0.0436111111194 401.844725806 371 24720583.3
24729 0.022326388862 159.884375 166 9996042.75
24732 0.0599537037779 426.35055646 494 29983311.2879
24733 0.0153472222155 424.95 127 7632816.7027
24734 0.0591782407137 417.1283272 494 30170676.6279
24735 0.0587384258397 351.262209553 494 32034838.6337
24736 0.0567245370476 461.752439024 493 32128359.5
24737 0.048078703694 429.864347826 400 25096644.1558
24739 0.0119791666511 374.752941176 98 5595459.88235
24742 0.0605092592305 395.046896552 494 28706840.0988
24743 0.00775462959427 435.554545455 65 3889762.5
24744 0.0585069444496 453.570238095 494 31746884.2261
24745 0.0109722223133 500.10625 101 6983667.44444
24746 0.0543171296595 473.233648718 494 33075083.4237
24747 0.0558564815437 468.175308642 493 32721704.8022
24748 0.0203819443705 484.920689655 185 12446615.0
24749 0.0551388888853 463.690021772 493 34300422.1786
24750 0.0622569443658 305.807666667 495 31886305.0
24751 0.0575810185401 419.254216867 474 28975439.2662
24752 0.00129629625008 495.2 11 761380.714286
24754 0.0431365739787 447.498387097 371 23555755.1579
24755 0.0457986111287 326.316969697 358 20017016.7273
24758 0.0439351851819 445.452380952 369 23562792.6807
24759 0.054664351861 492.481012658 493 33837815.8504
24760 0.0573495370336 392.579268293 493 32265936.5
24762 0.0114351852098 338.773875 95 6494580.0
24765 0.00112268514931 505.95 10 682243.0
24766 0.0103935184889 500.98 87 5920778.78571
24767 0.0100462962873 503.786666667 79 5474575.35556
24769 0.0623148147715 495.829213483 496 39088600.1231
24770 0.0121412037406 504.270588235 95 7418888.08824
24772 0.0616550926352 491.729213483 496 38791435.0769
24773 0.0314930555178 492.506521739 254 19897756.3377
24774 0.0620717592537 478.146666667 496 37596296.8633
24775 0.0215162037639 166.523548387 145 10042762.1429
24778 0.0620370371034 481.578888889 496 37517481.3333
24779 0.0679166666232 439.073469388 496 34785927.7838
24782 0.070914351847 363.828431373 496 33631649.2847
24783 0.0710648148088 336.832352941 496 33372736.4571
24784 0.0193055556156 418.114425214 151 11297174.3448
24785 0.0689583333442 421.93030303 496 33327352.7652
24786 0.017870370415 402.034915846 128 8969927.11111
24787 0.0630671295803 487.826666667 496 38759273.1892
24788 0.00668981473427 498.27 54 4185594.0
24790 0.0289930555737 465.028571429 231 17893793.7973
24792 0.0299768517725 491.43255814 242 19062556.0714
24795 0.0680555554572 307.567222571 496 36848378.2128
24796 0.0614930555457 492.197752809 496 38888192.5614
24797 0.0410185186192 394.404745763 316 23981735.6863
24799 0.0618634260027 473.582888889 496 38294438.5882
24800 0.0313310185447 483.22 252 19123609.1831
24801 0.0652546295896 387.359424532 496 36641019.2727
24802 0.0625578702893 460.049111111 496 37337382.8991
24803 0.0673495370429 310.039449825 496 37089838.8099
24820 0.0460763887968 136.310857727 294 11147127.6
24821 0.02290509257 318.531212121 158 9452467.13793
24822 0.0132407407509 399.557894737 96 6585438.31579
24823 0.0148726851912 106.668181818 95 4707250.0
24824 0.0121180556016 455.341176471 96 7005568.0
24825 0.0118634259561 65.1768152353 74 2380432.0
24826 0.0127893518656 455.238888889 102 7322946.44444
24828 0.0132870370289 56.5015789474 116 945286.27451
24831 0.00971064821351 500.1 78 6184164.0
24832 0.0625 456.913184333 496 36511644.0
24833 0.0379398148507 478.863345455 304 23661635.75
24835 0.0620254629757 480.369662921 496 38520676.5882
24840 0.0148726851912 497.2 120 9492031.47541
24846 0.0688310185215 427.891027475 495 34691326.6071
24847 0.0290393518517 394.336568071 206 14143367.028
24849 0.061458333279 431.890909091 495 31487374.2857
24850 0.0232060186099 327.654848485 180 11328969.375
24851 0.0386574073927 391.753571429 308 19036276.3218
24852 0.0220370370662 439.859375 183 11895252.7143
24853 0.060856481432 442.585057471 495 31895829.6117
24854 0.0581481481204 468.80952381 495 33233435.597
24855 0.0556828703266 473.691296475 495 34285265.7065
24856 0.0606828703312 440.573563218 495 32280876.375
24857 0.0610185185215 439.710127273 495 31569430.6915
24858 0.0598148148274 454.004597701 495 31511390.625
24859 0.0266319444636 448.956410256 218 13490131.575
24860 0.0600347222062 445.524137931 496 31857126.1538
24863 0.0438773147762 475.227873016 393 27536170.0571
24865 0.0553009258583 494.171139241 496 34811243.5041
24866 0.00613425928168 485.777777778 55 3782281.90476
24867 0.0549421296455 506.732911392 496 35402310.0
24868 0.0232291666325 508.279411765 210 14964565.0
24871 0.0551851851633 508.782278481 496 35217840.5289
24872 0.05681712972 485.925731707 496 35532261.1014
24873 0.0549884259235 510.432911392 495 35719007.0339
24874 0.0570138888434 501.917073171 495 35259354.1667
24875 0.00847222225275 432.6975 69 4930745.75
24877 0.0432407407789 406.919047619 348 24037933.5652
24878 0.0268518518424 456.130512821 222 15493059.3333
24879 0.0568634258816 483.869512195 495 34542799.5
24880 0.0557986110216 495.97875 495 35196587.8846
24881 0.0521875000559 443.944 424 26907866.9752
24883 0.00896990741603 445.561538462 73 4633998.9375
24884 0.0570023148321 470.940243902 491 33721340.3423
24885 0.0570486111101 467.40993378 495 33534676.2736
24886 0.0591435185634 459.284470588 495 32454953.4375
24887 0.0615046296734 417.980022809 495 29068648.2824
24889 0.061527777696 412.517977528 495 30330713.3168
24890 0.0615277778124 424.100119438 495 31265153.7805
24891 0.0624421297107 353.767666667 496 32155725.6092
24892 0.0655787036521 256.385339926 496 33021132.0548
24893 0.060925925849 444.152613636 495 32561005.9091
24894 0.0461689814692 452.154545455 377 24430951.2697
